10 9.731e-07 4.451e-07 8.301e-07 3.1973e-06 7.2e-07 5.54e-07 9.871e-07
20 3.3914e-06 1.2351e-06 2.5693e-06 6.9297e-06 1.7382e-06 9.1068e-06 2.6213e-06
30 7.4458e-06 2.4433e-06 5.1385e-06 1.09421e-05 2.8463e-06 2.5083e-06 4.1534e-06
40 1.28633e-05 9.3219e-06 8.4408e-06 1.51895e-05 4.1484e-06 4.0894e-06 6.0416e-06
50 1.9898e-05 5.9065e-06 1.48144e-05 1.94659e-05 5.2146e-06 6.7297e-06 7.7938e-06
60 2.92548e-05 8.6588e-06 1.73957e-05 2.34453e-05 7.0076e-06 8.1508e-06 9.5089e-06
70 3.82747e-05 1.06021e-05 2.48234e-05 2.80378e-05 8.1357e-06 9.667e-06 1.13731e-05
80 5.40612e-05 1.46115e-05 2.95729e-05 3.56515e-05 9.4259e-06 1.21392e-05 1.32703e-05
90 6.53694e-05 1.83048e-05 3.66786e-05 3.73396e-05 1.28172e-05 1.15931e-05 1.49805e-05
100 0.000136313 4.88727e-05 7.29601e-05 5.23821e-05 1.54075e-05 1.47565e-05 2.1371e-05
